text,label
高山仰止,0
恨不得,0
祭拜,0
敬服,0
看上眼,0
夢魂縈繞,0
安好,1
如痴如狂,0
安泰,1
歎為觀止,1
忘乎所以,0
尖嘴薄舌,2
艱苦卓絕,1
心如鐵石,2
見風轉舵,2
叩拜,0
倍兒棒,1
竭蹶,0
彪壯,0
博聞廣識,1
不動搖,0
不落俗套,1
可駭,2
不洩氣,1
才氣橫溢,1
空落落,0
枯寂,2
苦口,0
狂恣,2
老辣,2
肋脦,2
哩哩羅羅,2
凜然,1
伶仃,0
令人厭倦,2
碌碌無為,2
馬馬虎虎,2
莽莽撞撞,2
沒骨頭,2
沒兩下子,2
沒心眼兒,2
迷糊,0
模稜兩可,2
少見多怪,2
難上難,2
一塌糊塗,2
只顧自身利益,2
一個心眼兒,1
一級,1
有頭腦,1
欣欣向榮,1
難馴服,2
鬧鬧嚷嚷,2
貧寒,0
鋪張浪費,2
奇醜無比,2
氣壯如牛,1
清苦,0
窮途潦倒,2
缺乏幽默,2
弱智,2
色迷迷,2
傻里傻氣,2
神不知，鬼不覺,0
失落,0
食古不化,2
喧天,2
丰姿綽約,1
捉摸不定,2
特等,0
肝膽過人,1
高檔化,1
高深莫測,0
革命性,1
功德無量,1
古樸,1
過得硬,1
很有抱負,1
數一數二,1
花容月貌,1
受吃,1
史無前例,1
聖禮,0
滑天下之大稽,2
生死不渝,0
深入人心,1
擅場,1
上趕,2
井然有序,1
舉足輕重,1
人壽年豐,1
俊俏,1
確鑿無疑,0
確定,0
老成練達,3
鼠膽,2
強勢,0
淺顯,0
心胸狹隘,2
性格內向,2
千姿百態,1
氣度恢宏,1
起眼兒,0
越軌,2
令人大開眼界,1
完美無疵,1
樸實無華,1
無上光榮,1
有嘴無心,1
逸樂,1
心寬,1
無汙染,1
無拘束,1
聞過則喜,1
談吐不俗,1
名副其實,1
噴香,1
哀莫大於心死,2
安邦定國,1
金甌無缺,1
我武惟揚,1
乃心王室,1
盡忠報國,1
殺身報國,1
憂國忘身,1
濟世經邦,1
興利除弊,1
貓鼠同處,2
四海鼎沸,2
出疆載質,2
委國聽令,2
國步艱難,2
立國安邦,1
溽熱,2
歡快,1
如意,1
得志,1
好日子,1
歡娛,1
慶幸,1
喜氣,1
興高采烈,1
快意,1
豔福,0
樂陶陶,1
逗人,1
眉開眼笑,1
笑逐言開,1
距躍三百,1
鵲笑鳩舞,1
神采飛揚,1
忍俊不禁,0
嫣然,1
笑噱,0
和顏悅色,1
胡敲梆子亂擊磬－歡喜若狂,0
新媳婦懷孕－暗喜,0
僥倖,0
五世其昌,1
安樂窩,1
偏愛,0
掛牽,1
偏疼,2
嬌慣,2
流連,0
顧惜,0
垂愛,0
樂此不疲,0
興味,0
稀罕,1
一見鍾情,0
挺拔,1
歆慕,0
心動,0
溫順,1
不忍釋手,1
眷注,0
束身自修,1
難捨難分,1
老牛舔犢,1
渴望,0
熱望,0
乖乖,1
和暖,1
溫軟,1
溫情脈脈,1
可口,1
奇妙,0
尊崇,1
崇敬,1
稱頌,1
傳頌,1
頌揚,1
先烈,1
恭謹,1
萬壽無疆,1
福壽年高,1
老前輩,0
從善如流,1
尊貴,1
拜懇,1
鼻祖,1
和婉,1
怡和,0
和順,1
嫻靜,1
安逸,0
安居樂業,1
安適,1
思念,0
望眼欲穿,1
引人深思,1
妥靠,1
鐵定,0
活脫脫,1
白璧無暇,1
標兵,1
不同凡響,1
誠摯,1
出色,1
懇摯,1
令人鼓舞,1
豪興,1
善始善終,1
果斷,1
機智,1
健美,1
侃侃而談,1
淳樸,1
大顯神通,1
動聽,1
豐碑,1
剛毅,1
誇獎,1
肯切,1
力挽狂瀾,1
流芳百世,1
美不勝收,1
感人肺腑,1
敏捷,1
能幹,1
果敢,1
挺秀,1
嬌嬈,1
妙趣橫生,1
披荊斬棘,1
氣吞山河,1
前赴後繼,1
勤勉,1
熱誠,1
日新月異,1
神采奕奕,1
盛名,1
理解,0
大義滅親,0
忠心,1
坦率,1
推心置腹,1
文從字順,1
無微不至,1
聞名遐邇,1
嚴明,1
硬朗,1
優美,1
驚佩,1
整潔,1
周到,1
節烈,1
慈善,1
正大,1
堂堂正正,1
樸直,1
潔身自好,1
篤厚,1
憨厚,1
妥實,1
執著,1
不屈,1
勇武,1
初生牛犢,1
大度,1
虛心,1
浩氣,1
悃誠,1
肝膽相照,1
天公地道,1
儒雅,1
赳赳,1
好強,1
道德,1
倜儻,1
安分,1
脆生,1
讚揚,1
矢志不渝,1
旱苗得雨,0
假以辭色,1
親切,1
神韻,1
含蓼問疾,1
情同骨肉,0
精確,0
涼爽,0
深思熟慮,0
繁華,1
健壯,1
遼闊,1
輕捷,1
適當,1
香噴噴,1
雄厚,1
準確,1
清洌,1
寬大為懷,1
代代紅,1
急若流星,0
捨己救人,1
匡救,1
馳援,1
詠贊,1
稱道,1
讚歎不已,1
娟秀,1
秀媚,1
分外奪目,1
毫不利己,1
廉明,1
道不拾遺,1
聖人,1
賢良,1
勢不可當,1
驚天動地,0
準兒,1
其味無窮,0
入木三分,1
流芳千古,1
聲名遠播,1
有頭有臉,1
精美絕倫,1
獨佔鰲頭,1
一枝獨秀,1
獨具匠心,1
鶴立雞群,1
不賴,1
鋼鐵長城,1
幫扶,1
寶地,1
報答,1
輩出,1
憤懣,2
悲憤,0
勃然大怒,0
含怒,0
惱羞成怒,0
忿怒,0
七竅生煙,0
發標,0
怒容,0
吹鬍子,0
唱老生的生氣－吹鬍子瞪眼鏡,0
暴跳如雷,2
戟指怒目,2
怒形於色,2
怒目切齒,2
城下之盟,2
悲慟,0
悲哀,0
悲傷,0
銜冤,0
心如刀割,0
痛惜,0
悲酸,0
舉目無親,0
灑淚,0
啜泣,0
號啕,0
最後一根稻草,0
撫髀興嘆,2
參辰卯酉,0
倒黴,0
哀感天地,0
慘不忍聞,0
不勝其苦,0
嘆息,0
悲號,0
誠惶誠恐,0
魂飛魄散,0
面如土色,0
疑懼,0
幽靈,0
三伏天發抖－不寒而慄,0
吞吞吐吐,2
不可終日,0
慄慄危懼,0
夏日可畏,2
敗類,1
剝削,2
猖獗,2
臭架子,2
苟延殘喘,2
悍然,2
伎倆,2
黨羽,2
訛詐,2
飛揚跋扈,2
復辟,2
老狐狸,2
籠絡,2
厭惡,2
可憎,2
叛徒,2
欺凌,2
敲詐,2
屈辱,2
輕蔑,2
撒賴,2
傷天害理,2
為所欲為,2
烏合之眾,2
吸血鬼,2
陰謀,2
指鹿為馬,2
罪有應得,2
看輕,2
獸行,2
貪色,2
作踐,2
兇相畢露,2
棺材老闆咬牙－恨不死人,2
行同狗彘,2
視如寇仇,2
切齒腐心,2
令人作嘔,2
不以為然,2
文人相輕,2
王八蛋,2
姘婦,2
揶揄,2
癩皮狗,2
元兇,2
妖孽,2
騷貨,2
中傷,2
嘈雜,2
苦惱,0
犯愁,0
頹然,0
忍氣吞聲,0
不耐煩,0
焦炙,0
疑念,0
愧恨,0
沉寂,0
愁腸寸斷,2
憂心如薰,2
生吞蜈蚣－百爪撓心,2
貧窮,0
無所措手足,2
不如意事常八九,2
燥熱,2
將就,0
羞愧,0
臉紅,0
無面目見江東父老,2
抱愧,0
愧怍,0
悔恨,0
涵容,0
愧悔無地,0
船到江心補漏遲,2
慌亂,0
如坐針氈,0
心焦,0
張皇,2
浮躁,2
周章,0
心如懸旌,2
鞋裡長草－慌了腳,0
緊急,0
五色無主,0
腳忙手亂,2
心如火焚,2
死心,0
心灰意冷,0
不可企及,2
懷揣冰棒－涼透心,0
嫉妒,2
醋意,2
憂人發跡怕自窮,0
猜忌,2
疑團,0
田裡的蚯蚓－滿肚疑,0
敗家子,2
閉門造車,2
草包,2
乘人之危,2
記仇,2
妄求,2
累世通好,1
人浮於事,2
繁榮昌盛,1
鴻均之世,1
年豐時稔,1
五風十雨,1
分崩離析,2
人慾橫流,2
撥亂反治,1
秋荼密網,2
抑塞磊落,1
鞭笞天下,1
腹中兵甲,1
牛刀小試,1
臣門如市，臣心如水,1
欺瞞夾賬,2
賣官鬻獄,2
口快心直,1
奪人所好,2
營私舞弊,2
緩急相濟,1
久要不忘,1
言而不渝,1
賣友求榮,2
廢奢長儉,1
寬打窄用,1
斫雕為樸,1
金迷紙醉,2
天下箸處,2
別具隻眼,1
推陳出新,1
地利人和,1
一路順風,1
難於上天,0
矢志不愈,1
稱體裁衣,1
剛克柔克,1
知之為知之，不知為不知,1
唱籌量沙,2
以人廢言,2
越鳧楚乙,2
東躲西藏,2
大相徑庭,2
判若雲泥,2
天懸地隔,0
墜茵落溷,2
力疾從公,1
握蛇騎虎,0
日暮窮途,0
一板三眼,1
山重水複,0
抱火寢薪,0
三反四覆,2
歸全反真,1
再作馮婦,1
智者千慮，必有一失,0
與人為善,1
同歸於盡,2
良工巧匠,1
藝高膽大,1
三對六面,0
火上澆油,2
變古易常,1
先天不足,2
道高一尺，魔高一仗,0
搖身一變,0
乘風轉舵,2
以火救火,2
海闊天空,1
善氣迎人,1
珠聯璧合,1
敢怒不敢言,2
麟角鳳嘴,1
致死不悟,2
我行我素,2
五馬分屍,2
黃口稚子,2
天有不測風雲,2
茫無頭緒,2
不知天高地厚,2
洞房花燭,1
乾啼溼哭,0
泣下沾襟,0
噓唏不已,0
三媒六證,0
啞然失笑,0
陶猗之家,1
峻宇雕牆,1
立錐之地,2
賞信罰明,1
黃道吉日,1
旁門左道,2
大難臨頭,2
骨瘦如柴,2
藥店飛龍,2
不治之症,2
披麻戴孝,0
鰥寡孤獨,0
離群索居,0
相門有相,0
馳名天下,1
名標青史,1
人死留名,1
談笑風生,1
不經之談,2
混為一談,2
遊談無根,2
巧言花語,2
口頭禪,2
多嘴多舌,2
嘮嘮叨叨,2
絮絮叨叨,2
即即世世,2
顧名思義,0
隨時制宜,1
沒齒不忘,1
頓開茅塞,1
瞭若指掌,1
先知先覺,1
撫躬責己,1
隱晦曲折,2
耳食之談,2
靠天吃飯,0
強龍不壓地頭蛇,2
倚官仗勢,2
不耕而食，不蠶而衣,2
欺罔視聽,2
甜嘴蜜舌,2
鴻飛冥冥,1
前門進虎，後門進狼,2
在劫難逃,2
草衣木食,2
等米下鍋,2
家道壁立,2
納履踵決,2
飛短流長,2
薏苡明珠,2
利息秋毫,1
關門閉戶,0
豺狐之心,2
瓜蔓抄,2
玉粒桂薪,2
債臺高築,2
剛毅不訥,1
無拳無勇,2
鞍不離馬，甲不離身,1
枕戈待旦,1
遲疑不決,2
倉卒應戰,2
猶豫不定,2
低首下心,2
蓋不由己,2
錙銖必較,2
張公吃酒李公醉,2
鼠竄狼奔,2
嘴甜心苦,2
強盜掛念珠,2
見事風生,2
報仇雪恨,2
招權納賂,2
緩不濟急,0
屏聲息氣,0
歧路亡羊,2
千了百當,1
冬扇夏爐,2
喧賓奪主,2
日月交食,2
漏脯充飢,2
束手待斃,2
拋頭露面,2
原形畢露,2
因禍得福,1
人民城郭,2
聯翩而至,0
自相殘殺,2
強人所難,2
有隙可乘,2
欺善怕惡,2
肆意橫行,2
橫行天下,2
知情不舉,2
博士買驢,2
屨賤踴貴,2
結黨營私,2
招降納叛,2
任其自便,2
惹禍招殃,2
招風惹草,2
鼓譟而起,2
出乖露醜,2
諫鼓謗木,1
高下在心,1
殫智竭力,1
草草收兵,2
圖謀不軌,2
貪歡逐樂,2
春深似海,1
天朗氣清,1
秋高氣肅,1
天府之國,1
群芳竟豔,1
綠水青山,1
光彩耀日,1
除惡務盡,0
評頭品足,2
膽大包天,2
涸澤而漁,2
搔頭弄姿,2
逼上梁山,0
反客為主,3
小試鋒芒,1
左右開弓,1
出口成章,1
兼資文武,1
陸海潘江,1
七步成詩,1
神機妙算,1
胸中甲兵,1
卓犖超倫,1
殫見洽文,1
閎大不經,1
通人達才,1
蜀犬吠日,2
真知灼見,1
白日昇天,1
破壁飛去,1
彪炳千古,1
涉筆成趣,1
讚不絕口,1
折足覆餗,2
土牛木馬,2
玉卮無當,2
鳩形鵠面,2
時通運泰,1
放歌縱酒,1
鳳冠霞帔,1
桃李滿天下,1
再造之恩,1
藏器待時,1
可操左券,1
根深葉茂,1
一箭雙鵰,1
功高不賞,1
不遺餘力,1
兼功自厲,1
臥薪嚐膽,1
拔樹尋根,1
明目達聰,1
手到病除,1
膽略兼人,1
鳳鳴朝陽,1
鸞翔鳳集,1
祥麟威鳳,1
下筆有神,1
未雨綢繆,1
仙風道骨,1
一表堂堂,1
感恩圖報,1
妙處不傳,1
如聞其聲，如見其人,1
危言危行,1
執法不阿,1
平地樓臺,1
福至心靈,1
改弦易轍,0
風檣陣馬,1
飲醇自醉,1
人自為戰,1
及鋒而試,1
兵強將勇,1
節節勝利,1
所向披靡,1
熊羆之師,1
擇善而從,1
孺子可教,1
改邪歸正,1
一改故轍,1
袒裼裸裎,2
苟合取容,2
頭童齒豁,0
如到寶山空手回,2
大廈將傾，一木難支,2
兵敗如山倒,2
棄甲倒戈,2
望風破膽,2
彩鳳隨鴉,2
一事無成,2
不肖子孫,2
虛度年華,2
怙惡不悛,2
一丘之貉,2
偷東摸西,2
緊行無好步,0
放虎自衛,2
謬種流傳,2
粗服亂頭,2
阿其所好,2
冥室櫝棺,2
不辨龍蛇,2
鸚鵡學舌,2
投機倒把,2
以耳為目,2
咎由自取,2
引狗入寨,2
自討沒趣,2
姍姍來遲,2
何其相似乃爾,0
傾家蕩產,0
蠹眾木折,2
化為泡影,0
尺布鬥慄,0
漏洩春光,0
搖旗打鼓,0
徙宅忘妻,2
恃勇輕敵,2
伯歌季舞,1
歡喜冤家,0
金石交,0
笙磬同音,0
竹馬之好,0
儻來之物,0
平地一聲雷,0
君子之交,1
單相思,0
赤身露體,0
淡妝濃抹,2
逼真逼肖,1
格物窮理,0
去偽存真,1
追本窮源,0
流言止於智者,0
杅穿皮蠹,0
丁一確二,1
明辨是非,1
南征北戰,0
拐彎抹角,2
虛情假意,2
奮勇當先,1
身先士卒,1
碧血丹心,1
食少事繁,1
風雨同舟,1
問安視膳,1
敬而遠之,2
敬賢禮士,1
尊師重道,1
得薄能鮮,2
馬齒徒增,2
昂首望天,2
獨弦哀歌,2
居功自傲,2
自高其功,2
貪名愛利,2
封豕長蛇,2
蛇吞象,2
眼饞肚飽,2
xixi,0
蔥白,1
我去,0
BS,2
CC,1
無語,2
八婆,2
超爽,0
包子,2
_god,0
愛老虎油,1
嘔像,2
MPJ,2
固執,2
渾水摸魚,2
得寸進尺,2
爾虞我詐,2
空洞,2
婆婆媽媽,2
濫竽充數,2
獵取,2
蠻橫,2
擅自,2
拈輕怕重,2
漠然,2
怨尤,2
暴烈,2
偏見,0
招搖,2
千篇一律,2
驕矜,2
求全責備,2
勢利,2
挑剔,2
偷懶,2
畏葸不前,2
無稽之談,2
無中生有,2
犯疑心病,2
葉公好龍,2
變節,2
滅絕人性,2
奸險,2
猥劣,2
奸詐,2
詭詐,2
澆薄,2
虛驕,2
不自量力,2
老氣橫秋,2
狂氣,2
剛愎,2
小心眼,2
陋習,2
陽奉陰違,2
隨風倒,2
自私自利,2
鄙俗,2
蠻不講理,2
輕率,2
愚魯,2
搖頭擺尾,2
蠢笨,2
愚頑,2
儇薄,2
水性楊花,2
貪嘴,2
愚直,2
怪誕,2
浮皮潦草,2
毛手毛腳,2
食言,2
鬼祟,2
出圈兒,2
奴顏媚骨,2
欺哄,2
耍滑,2
耍賴,2
恣意妄為,2
閒散,2
兔死狗烹,2
蠻勇,2
自戀,2
有勇無謀,2
不識人間有羞恥事,2
辱門敗戶,2
慢騰騰,2
人心似鐵,2
盲用,2
慢慢吞吞,2
孤行己見,2
強橫霸道,2
蕭規曹隨,2
左右袒,2
乾巴,2
化公為私,2
權慾薰心,2
猥鄙,2
膏粱子弟,2
淫穢,2
豔情,2
口角,2
冷酷無情,2
有理無情,2
耍滑頭,2
身單力薄,2
錯誤百出,2
生吞活剝,2
臭名昭著,2
發酸,0
言之無物,2
傲物,2
擺款兒,2
板蕩,2
暴政,2
兵痞,2
財迷,2
向著,2
桑梓之念,0
驚嚇,0
心血來潮,2
享樂,2
驚詫,0
怪訝,0
平定,0
精湛,1
冰心,1
併力,1
博雅,1
才賦,1
才學,1
蒼鬱,1
長技,1
草寇,2
插足,2
讒佞,2
倀鬼,2
吵人,2
塵囂,2
稱霸,2
超卓,1
沉摯,1
成名,1
吃心,2
齒冷,2
忡忡,2
醜事,2
承教,1
騁目,0
崇信,1
出藍,1
創舉,1
憷頭,2
春山,1
純稚,1
吹擂,2
蠢話,2
刺兒話,2
竄犯,2
篡位,2
錯會,2
呆子,2
刀俎,2
盜匪,2
盜用,2
桂冠,1
國光,1
國威,1
酣眠,1
敵特,2
顛沛,2
丟份,2
毒販,2
賭棍,2
斷代,0
惡疾,2
惡性,2
貳臣,2
法盲,2
反側,2
飯桶,2
放刁,2
非人,2
匪禍,2
分贓,2
奉迎,2
浮誇,2
負隅,2
官僚,2
慣賊,2
淳古,1
慈憐,1
蔥鬱,1
翠藍,1
存問,0
打躬,1
大觀,1
大士,1
大雅,1
黛紫,0
當先,0
鬼子,2
得救,0
得中,1
砥柱,1
叮嚀,0
國恥,2
過頭,2
黑金,2
後門,2
虎口,0
幻滅,2
謊話,2
毀約,2
穢行,2
混賬,2
擠佔,2
假手,2
進犯,2
拘牽,2
懶怠,2
空論,2
懂行,1
洞究,1
寬縱,2
獨步,1
篤學,1
端平,1
墩勸,1
奪魁,0
發奮,1
發展,0
繁盛,1
芳烈,1
放達,1
飛靈,1
肥壯,1
豐饒,1
富源,1
改過,1
甘貴,0
剛性,1
高檔,1
高朗,1
撈摸,2
勒抑,2
冷遇,2
斂財,2
凌夷,2
流氣,2
高爽,1
露醜,2
亂民,2
淪喪,2
落套,2
埋汰,2
毛子,2
沒樣兒,2
媚外,2
密謀,2
冥頑,2
高升,0
更生,1
工穩,1
攻書,1
公認,1
掛記,0
磨煩,2
觀止,1
貫徹,0
光溜,1
呶呶,2
鬧架,2
鬧災,2
國本,0
齧噬,2
奴化,2
毆打,2
攀誣,2
旁騖,2
好評,1
皮囊,2
偏差,2
剽取,2
破財,0
歧途,2
起鬨,2
前愆,2
槍替,2
搶劫,2
浩浩,0
賀匾,1
賀喜,1
紅星,1
洪鐘,1
宏論,1
護佑,1
華彩,1
歡歌,1
歡宴,1
揮毫,1
迴歸,0
活溜,1
積德,1
吉期,1
竊奪,2
侵襲,2
傾軋,2
求全,2
取鬧,2
缺點,2
饒舌,2
認頭,2
辱命,2
殺機,2
蛇頭,2
生事,2
失範,2
失算,2
手黑,2
受苦,0
受制,2
衰頹,2
搜刮,2
損傷,2
貪賄,2
逃兵,2
體罰,2
偷盜,2
透頂,2
蛻化,2
歪理,2
頑梗,2
妄人,2
威脅,2
違紀,2
窩主,2
蕪雜,2
嬉皮士,2
瞎扯,2
嫌忌,2
險阻,2
蕭索,2
邪魔,2
洩密,2
兇犯,2
兇殺,2
熊包,2
虛話,2
虛妄,2
眩惑,2
壓制,2
掩飾,2
妖風,2
窯子,2
一窩蜂,2
疑忌,2
異端,2
陰溼,2
淫畫,2
引誘,2
庸才,2
誘脅,2
迂氣,2
愚民,2
鬱然,2
冤孽,2
怨仇,2
怨懣,2
欽慕,1
勤勤,1
清官,1
雜念,2
災禍,2
佳境,1
不甘心,0
精衛填海,1
美好,1
至交,1
偏袒,2
心如死灰,0
見長,1
價廉質優,1
一塵不染,1
榜樣,1
撥弄,2
光棍,2
憎惡,0
精悍,1
不足掛齒,2
懶散,2
粗重,0
驚人,0
英武,1
不甘,0
虛偽,2
融融,1
遺臭萬年,2
息事寧人,0
自在,0
壞事,2
崩潰,0
得過且過,2
寬容,1
自得其樂,1
心驚肉跳,0
戀愛,0
贅疣,2
蕭瑟,0
高貴,1
英豪,1
擺佈,2
絲絲入扣,1
體貼入微,1
妻離子散,0
告捷,1
打掩護,2
尸位素餐,2
操持,1
漠不關心,2
栩栩如生,1
服帖,0
長上,0
有頭無尾,2
安然,0
妖媚,2
碌碌,2
不周,2
仰望,1
鼠輩,2
幼稚,2
風聲鶴唳,0
傳家寶,1
杞人憂天,2
功德,1
天香國色,1
平庸,2
無所事事,2
高明,1
驢唇不對馬嘴,2
實心實意,0
私自,2
喜歡,1
陷落,0
心慌意亂,0
百孔千瘡,2
疏忽,2
老調,2
放火,2
荒漠,0
豐盈,1
蠢動,2
篤實,1
牽連,0
功勳,1
天翻地覆,2
煩擾,2
敞亮,1
禍胎,2
心虛,2
模範,1
實在,1
高人,1
昏沉,0
平緩,0
身不由己,0
欠缺,0
千鈞一髮,0
馬大哈,2
光潔,1
懷戀,0
花魁,1
沉痛,0
虛度,2
徘徊,0
幌子,2
水到渠成,1
丟臉,2
鞭辟入裡,1
畜生,2
赤裸裸,2
有口皆碑,1
出頭,0
有血有肉,1
迎刃而解,1
狂暴,2
說嘴,2
玲瓏,1
愁眉不展,0
侈談,2
紛亂,2
濃郁,1
天衣無縫,1
柺子,2
泛泛,0
好聽,1
軟弱,2
對眼,1
莫須有,2
沉痼,2
拘泥,2
空想,2
見不得人,2
精雕細刻,1
響噹噹,1
半半拉拉,2
岔子,2
抬槓,2
先人後己,1
倚重,0
抽風,2
疙瘩,0
慘絕人寰,2
恢弘,1
好人,1
前輩,0
零星,0
危亡,0
困頓,0
瞎說,2
急轉直下,2
解決,0
融融,1
閻羅,1
便民,1
惶惶不可終日,0
亮堂,1
甜美,1
天翻地覆,1
銷魂,0
荒廢,2
凌虐,2
痛快淋漓,1
動人,1
垂頭喪氣,0
背時,2
洋洋,1
陰沉,0
栽贓,2
髒汙,2
噪聒,2
責罰,2
賊贓,2
肢解,2
滯銷,2
清順,0
清越,1
輕俏,1
晴好,1
慶賀,1
全勝,1
熱火,1
任俠,1
柔潤,1
睿智,1
善行,1
神力,1
省心,1
盛況,1
盛讚,1
詩意,1
爽健,1
肅然,1
周折,2
裝糊塗,2
捉弄,2
滋事,2
走內線,2
嘴長,2
罪孽,2
作死,2
坐誤,2
騰歡,1
貼心,1
同樂,1
婉麗,1
溫婉,1
穩靜,1
沃饒,1
無雙,1
細嫩,1
先哲,1
纖巧,1
相成,1
驍健,1
心秀,1
興隆,1
寄懷,1
雄踞,1
雄圖,1
秀潤,1
煊赫,1
勳勞,1
雅懷,1
嫣紅,1
延譽,1
揚名,1
毅勇,1
英風,1
英秀,1
瑩瑩,1
勇決,1
優禮,1
幽韻,1
有素,1
圓渾,1
佳餚,1
兼顧,1
堅挺,1
簡質,1
舉薦,1
見地,1
見效,1
江山,1
獎賞,1
姣妍,1
姣美,1
佼佼,1
教益,1
解渴,1
巾幗,1
金湯,1
勻實,1
贊服,1
戰鷹,1
珍寶,1
珍聞,1
正論,1
指教,1
至品,1
致力,1
智巧,1
忠言,1
壯健,1
拙直,1
卓異,1
滋養,1
進展,1
晉職,1
尊嚴,1
盡歡,1
精本,1
精進,1
精敏,1
精通,1
精一,1
景氣,1
淨化,1
敬養,1
炯然,1
救星,1
巨構,1
捐軀,1
婞直,1
愛搭不理,2
岸然,1
板板六十四,2
背地裡,2
秉性剌戾,2
站得高，看得遠,1
有禮貌,1
因材施教,1
唯命是從,2
心地善良,1
秀色可餐,1
不到黃河心不死,2
有價值,1
不對茬兒,2
鄭重其事,1
鬱鬱蔥蔥,1
雍容華貴,1
絢麗多彩,1
胸懷坦白,1
不敬,2
值錢,1
味道鮮,1
手無縛雞之力,2
體力不支,2
私下,2
鬆散散,2
太隨便,2
蛻化變質,2
唯我獨尊,2
無價值,2
無吸引力,2
險象環生,2
不名一文,2
不清不楚,2
不妥,2
不宜,2
不羈,0
慘無人道,2
有意義,1
玄遠,1
岌岌不可終日,2
罪惡深重,2
朝不慮夕,2
吃不開,2
臭氣沖天,2
大錯而特錯,2
呆鈍,2
道德敗壞,2
低人一等,2
刁惡,2
短視,2
繁複,2
廢舊,2
腐朽沒落,2
疙裡疙瘩,2
孤孤單單,2
寡了叭嘰,2
怪里怪氣,2
含糊其詞,2
毫無價值,2
黑燈瞎火,2
黑黢黢,2
糊糊塗塗,2
荒誕無稽,2
荒瘠,2
灰頭灰臉,2
智勇雙全,1
炙手可熱,2
忠心赤膽,1
準點,1
足智多謀,1
最新,1
矍鑠,1
娉婷,1
璞玉渾金,1
婚外,2
虔心,1
搥胸頓足,0
板面孔,0
不待見,2
猜疑,2
千里饋糧,2
愁眉緊鎖,0
打罵,2
堵得慌,2
發怔,2
煩厭,2
駭然失色,2
後悔莫及,2
悔不該,2
急眼,2
看扁,2
哭喪著臉,2
拉長個臉,0
臉紅耳熱,0
罵罵咧咧,2
悶鬱,0
怒罵,0
氣鼓鼓,0
瞧不上,0
柔腸百結,2
說風涼話,2
投訴,0
向隅而泣,0
心驚膽顫,0
羞臊,0
訝異,0
幽憂,0
戰兢兢,0
怔怔,0
自疚,0
悵然,0
稱心如願,0
妒火中燒,0
給臉,0
